epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,791.022,1.15126,0.75606,1.41127,0.82193,0.8283,0.87709,0.51812,1.47717,0.80969,1.83203,0.000660045,0.000660045,0.000660045
43,809.807,1.1586,0.76043,1.40832,0.83424,0.84297,0.88264,0.52433,1.47426,0.78611,1.81368,0.000649046,0.000649046,0.000649046
44,828.602,1.13214,0.72959,1.39595,0.83336,0.83754,0.88059,0.52696,1.44381,0.8005,1.80046,0.000638047,0.000638047,0.000638047
45,847.417,1.10873,0.71824,1.37398,0.82752,0.84192,0.87559,0.53522,1.40868,0.78272,1.76724,0.000627048,0.000627048,0.000627048
46,866.227,1.0736,0.69254,1.34929,0.85176,0.82632,0.87682,0.55525,1.39912,0.77866,1.78109,0.000616049,0.000616049,0.000616049
47,885.006,1.10529,0.71564,1.37399,0.84778,0.83705,0.89025,0.54098,1.40413,0.77056,1.76826,0.000605051,0.000605051,0.000605051
48,903.917,1.05316,0.67961,1.3356,0.871,0.87151,0.91229,0.5785,1.33838,0.72824,1.7103,0.000594052,0.000594052,0.000594052
49,922.72,1.0439,0.66245,1.32095,0.87553,0.82596,0.90192,0.56133,1.37345,0.75177,1.75717,0.000583053,0.000583053,0.000583053
50,941.589,1.04118,0.66001,1.32362,0.85404,0.85368,0.89955,0.56228,1.37688,0.73314,1.73929,0.000572054,0.000572054,0.000572054
51,960.282,1.02114,0.65333,1.30969,0.85176,0.84811,0.89953,0.56473,1.37103,0.72647,1.75224,0.000561055,0.000561055,0.000561055
52,978.966,1.00125,0.63292,1.28591,0.86926,0.85129,0.90335,0.57863,1.34863,0.73621,1.73291,0.000550056,0.000550056,0.000550056
53,997.605,0.98059,0.62782,1.28165,0.86979,0.84844,0.90588,0.58374,1.30132,0.6991,1.68835,0.000539057,0.000539057,0.000539057
54,1016.64,0.95272,0.6017,1.25847,0.89106,0.85716,0.91476,0.60021,1.29312,0.68068,1.68766,0.000528058,0.000528058,0.000528058
55,1035.43,0.9617,0.60987,1.27272,0.8965,0.84183,0.91069,0.59917,1.281,0.6802,1.68053,0.000517059,0.000517059,0.000517059
56,1054.09,0.94107,0.60354,1.25059,0.8831,0.84982,0.90834,0.59999,1.28428,0.71061,1.69571,0.00050606,0.00050606,0.00050606
57,1072.73,0.96854,0.61196,1.2764,0.90884,0.84748,0.91855,0.6123,1.25817,0.67463,1.65215,0.000495062,0.000495062,0.000495062
58,1091.54,0.92613,0.5773,1.23534,0.89057,0.87214,0.91285,0.60522,1.27968,0.66671,1.67551,0.000484063,0.000484063,0.000484063
59,1110.21,0.92587,0.58299,1.25037,0.91902,0.86886,0.92751,0.62618,1.25612,0.6575,1.66791,0.000473064,0.000473064,0.000473064
60,1129.04,0.8898,0.56714,1.21113,0.87497,0.85521,0.90983,0.59984,1.27012,0.67137,1.68477,0.000462065,0.000462065,0.000462065
61,1148,0.88947,0.55625,1.20849,0.89408,0.88179,0.91822,0.61706,1.23376,0.6619,1.6593,0.000451066,0.000451066,0.000451066
62,1166.7,0.87315,0.54815,1.19591,0.88648,0.87865,0.9165,0.62072,1.23465,0.63829,1.65549,0.000440067,0.000440067,0.000440067
63,1185.33,0.86538,0.54685,1.19425,0.89929,0.87113,0.92759,0.63451,1.21877,0.64571,1.64314,0.000429068,0.000429068,0.000429068
64,1204.13,0.83135,0.5299,1.16977,0.89877,0.87314,0.92639,0.6303,1.2209,0.62886,1.66937,0.000418069,0.000418069,0.000418069
65,1222.79,0.84411,0.53011,1.18315,0.90548,0.89054,0.92564,0.64188,1.19133,0.62843,1.62671,0.00040707,0.00040707,0.00040707
66,1241.6,0.83422,0.52506,1.17605,0.91824,0.87234,0.92801,0.64846,1.18401,0.61863,1.63323,0.000396071,0.000396071,0.000396071
67,1260.42,0.82098,0.51837,1.16529,0.91095,0.8923,0.92658,0.65324,1.18269,0.61368,1.60954,0.000385073,0.000385073,0.000385073
68,1279.22,0.81014,0.50945,1.15729,0.91884,0.87347,0.92164,0.65323,1.16476,0.61273,1.60209,0.000374074,0.000374074,0.000374074
69,1297.88,0.8043,0.49865,1.15058,0.89776,0.86973,0.92276,0.64458,1.18039,0.63237,1.61566,0.000363075,0.000363075,0.000363075
70,1316.8,0.77844,0.47835,1.13649,0.93749,0.87017,0.9326,0.66546,1.13852,0.6036,1.59844,0.000352076,0.000352076,0.000352076
71,1335.58,0.7761,0.49175,1.13918,0.92026,0.87254,0.93091,0.66786,1.13069,0.59617,1.59422,0.000341077,0.000341077,0.000341077
72,1354.39,0.77525,0.48394,1.14013,0.9014,0.88548,0.93231,0.67236,1.13265,0.60675,1.57607,0.000330078,0.000330078,0.000330078
73,1373.19,0.75568,0.47806,1.11818,0.91791,0.88098,0.93605,0.67795,1.11894,0.5885,1.5868,0.000319079,0.000319079,0.000319079
74,1392,0.75698,0.4753,1.12552,0.90858,0.88501,0.92849,0.67351,1.13679,0.57764,1.60446,0.00030808,0.00030808,0.00030808
75,1410.67,0.74204,0.46291,1.10821,0.91936,0.89604,0.93726,0.67584,1.09596,0.58096,1.56802,0.000297081,0.000297081,0.000297081
76,1429.32,0.73549,0.4604,1.10567,0.91383,0.89154,0.92796,0.68332,1.09744,0.56963,1.59103,0.000286083,0.000286083,0.000286083
77,1448.13,0.72759,0.45118,1.10265,0.9084,0.89857,0.93318,0.68589,1.08383,0.56576,1.55124,0.000275084,0.000275084,0.000275084
78,1467.21,0.71192,0.45157,1.09185,0.92713,0.88548,0.93526,0.68747,1.08265,0.55281,1.55824,0.000264085,0.000264085,0.000264085
79,1485.98,0.70648,0.44171,1.08974,0.9306,0.89605,0.93857,0.69245,1.06946,0.54696,1.54881,0.000253086,0.000253086,0.000253086
80,1504.78,0.69832,0.43993,1.08129,0.93831,0.88263,0.93847,0.69419,1.06202,0.55656,1.54158,0.000242087,0.000242087,0.000242087
81,1523.57,0.69103,0.42637,1.07309,0.9215,0.90641,0.94148,0.70107,1.052,0.53958,1.55652,0.000231088,0.000231088,0.000231088
82,1542.36,0.67871,0.4231,1.06411,0.9255,0.89263,0.93676,0.69609,1.04682,0.52417,1.54064,0.000220089,0.000220089,0.000220089
83,1561.01,0.67241,0.42096,1.06517,0.9209,0.89377,0.9305,0.69986,1.04348,0.53979,1.54353,0.00020909,0.00020909,0.00020909
84,1579.67,0.66756,0.41497,1.06284,0.92221,0.8996,0.9379,0.70036,1.04322,0.53079,1.55258,0.000198091,0.000198091,0.000198091
